ward,type,location,year,est_cost,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
5,Miscellaneous-CDOT,57 th St. & S. Woodlawn,2008,15821,google,"c(-87.5964507, 41.7914235)",5,27,05027
15,POD Camera,60 th & Paulina,2010,20000,google,"c(-87.6667853, 41.7848877)",15,26,15026
20,POD Camera,63 rd & Maryland,2008,13000,google,"c(-87.6046494, 41.7804143)",20,5,20005
20,Miscellaneous-CDOT,63 rd & Yale Sign,2007,900,google,"c(-87.6318396, 41.7798782)",20,44,20044
15,POD Camera,64 th & Hamilton,2010,13000,google,"c(-87.6775242, 41.7774676)",15,31,15031
15,POD Camera,64 th & Richmond,2009,13000,google,"c(-87.6969932, 41.7772418)",15,13,15013
15,POD Camera,64 th & Wolcott,2010,20000,google,"c(-87.6714603, 41.7775421)",15,31,15031
15,POD Camera,65 th & Western,2010,13000,google,"c(-87.6015908, 41.7768305)",20,29,20029
15,POD Camera,66 th & Maplewood,2009,13000,google,"c(-87.6871518, 41.7737415)",15,11,15011
17,POD Camera,66 th & Sangamon,2008,24000,google,"c(-87.6482833, 41.7742337)",17,43,17043
15,POD Camera,"67 th & Hoyne 2008, 2009, 2010 menu",2008,2197,google,"c(-87.6786332, 41.8545653)",25,30,25030
15,POD Camera,"67 th & Hoyne 2008,2009,2010 Menu",2010,16418,google,"c(-87.6786332, 41.8545653)",25,30,25030
15,POD Camera,67 th & Hoyne,2009,1385,google,"c(-87.6761391, 41.7711341)",15,21,15021
17,POD Camera,69 th & Damen,2008,24000,google,"c(-87.673621, 41.7684379)",17,37,17037
5,Miscellaneous-CDOT,69 th St. & S. Jeffery,2008,17539,google,"c(-87.576415, 41.7697804)",5,28,05028
13,POD Camera,71 & Springfield,2007,24000,google,"c(-87.7198555, 41.764109)",13,19,13019
17,POD Camera,73 rd & Wood,2008,24000,google,"c(-87.6685886, 41.761213)",17,32,17032
17,POD Camera,78 th & Marshfield,2007,3026,google,"c(-87.6646886, 41.75215)",17,29,17029
17,POD Camera,78 th & Marshfield,2008,943,google,"c(-87.6646886, 41.75215)",17,29,17029
17,POD Camera,78 th & Marshfield,2009,14147,google,"c(-87.6646886, 41.75215)",17,29,17029
17,POD Camera,78 th & Marshfield,2010,1885,google,"c(-87.6646886, 41.75215)",17,29,17029
44,Acquisition,815 & 817 W Roscoe St,2005,65000,google,"c(-87.6501475, 41.9433669)",44,42,44042
10,Miscellaneous-CDOT,87 th & Commercial - 4 corners,2007,39000,google,"c(-87.6542977, 41.8811042)",2,16,02016
18,Miscellaneous-CDOT,87 th St. & Washtenaw,2008,7288,google,"c(-87.6896303, 41.7354663)",18,34,18034
7,Miscellaneous-CDOT,93 rd & Oglesby(crosswalk) or along 93 rd (median),2010,4300,google,"c(-87.56691, 41.726265)",7,41,07041
36,Miscellaneous-CDOT,Addison at Olcott & Osceola,2007,1600,google,"c(-87.8132427, 41.9831456)",41,43,41043
33,POD Camera,Albany & Byron,2011,20000,google,"c(-87.7055106, 41.9521225)",33,6,33006
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,google,"c(-87.6114894, 41.7198897)",6,22,06022
31,POD Camera,Altgeld & Lavergne,2011,22500,google,"c(-87.7512731, 41.9260267)",31,1,31001
26,POD Camera,Armitage & Monticello,2009,20000,google,"c(-87.7179673, 41.917263)",26,15,26015
25,Miscellaneous-CDOT,Ashland & 17 th,2010,29484,google,"c(-87.6661645, 41.8586898)",25,24,25024
25,Miscellaneous-CDOT,Ashland & 18 th,2010,28933,google,"c(-87.6661364, 41.8578077)",25,24,25024
2,POD Camera,Ashland & Washburne,2009,13000,google,"c(-87.6662804, 41.8659846)",2,10,02010
32,Miscellaneous-CDOT,Augusta & Hoyne - Markings,2008,2000,google,"c(-87.6795799, 41.8994957)",32,17,32017
31,POD Camera,Belden & Lawler,2011,20000,google,"c(-87.75239, 41.9223267)",31,20,31020
44,Miscellaneous-CDOT,Belmont & Lake Shore,2009,33000,google,"c(-87.6395418, 41.9401237)",44,3,44003
44,Miscellaneous-CDOT,Belmont & Orchard,2009,1000,google,"c(-87.6468192, 41.9400098)",44,21,44021
44,POD Camera,Belmont & Sheffield,2006,24000,google,"c(-87.6541109, 41.9399129)",44,39,44039
24,4 POD Cameras + LPR Existing Cameras: 1200 S Pulaski 1359 S Central Park; 1159 S Independence; 1559 S Homan,BLVD & W ROOSEVELT RD,2021,142988,google,"c(-87.7172457, 41.8662648)",24,5,24005
46,POD Camera,Broadway & Sheridan,2011,20000,google,"c(-87.6496461, 41.9527392)",46,5,46005
48,Miscellaneous-CDOT,Bryn Mawr Ave & @ Lake Shore Dr.,2008,11900,google,"c(-87.5905131, 41.8127955)",4,10,04010
39,Miscellaneous-CDOT,Byron Ave & 3900 N. Hamlin,2008,38700,google,"c(-87.722921, 41.9521235)",39,23,39023
2,POD Camera,California & Madison,2007,12000,google,"c(-87.696312, 41.8810767)",2,48,02048
26,POD Camera,Campbell & Hirsch,2009,20000,google,"c(-87.6895671, 41.9066348)",26,20,26020
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2008,875,google,"c(-87.6794905, 41.8958689)",32,17,32017
1,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,google,"c(-87.6794905, 41.8958689)",32,17,32017
32,Miscellaneous-CDOT,Chicago Ave & Hoyne Ave,2009,9650,google,"c(-87.6794905, 41.8958689)",32,17,32017
25,POD Camera,Claremont & Taylor,2007,28000,google,"c(-87.6848678, 41.8689858)",25,10,25010
49,Miscellaneous-CDOT,Clark & Farwell,2008,2600,google,"c(-87.6733974, 42.0065532)",49,4,49004
49,LED Traffic Signal Upgrades & Pedestrian Countdown Signal  N,CLARK ST & W JARVIS AVE,2019,5121.52,google,"c(-87.6751679, 42.0159056)",49,11,49011
42,Miscellaneous-CDOT,Clinton St. & Randolph St,2008,1000,census,"c(-87.641269027, 41.884440714)",42,21,42021
1,Miscellaneous-CDOT,Clybourn & Leavitt to Hoyne-alley apron change orde,2011,1488,google,"c(-87.9089846, 41.9802412)",41,27,41027
1,Miscellaneous-CDOT,Clybourn at Barry & Oakley,2011,800,google,"c(-87.6855935, 41.9376834)",1,42,01042
2,Miscellaneous Other,Congress Pkwy - Michigan & Wells,2012,117050,google,"c(-87.6342911, 41.8989026)",27,28,27028
26,POD Camera,Cortland & Drake,2009,20000,google,"c(-87.7150882, 41.9154826)",26,3,26003
26,POD Camera,Cortland & Lawndale,2009,20000,google,"c(-87.7191519, 41.915425)",26,15,26015
24,Miscellaneous-CDOT,"Cullerton, 21 st, Kildare & Kostner",2009,57450,google,"c(-87.7311988, 41.8114214)",14,2,14002
15,Miscellaneous-CDOT,Damen & Wood (both 58 th to 59 th),2010,14875,google,"c(-87.6834119, 41.7865137)",16,6,16006
42,Miscellaneous-CDOT,Dearborn & Walton,2007,50900,google,"c(-87.6298667, 41.8998118)",42,45,42045
23,Miscellaneous-CDOT,Diagonal Parking-Archer & Kolin,2006,25000,google,"c(-87.7319311, 41.800396)",23,25,23025
33,Miscellaneous-CDOT,Diagonal Pkg & 3200 Francisco,2006,21339,google,"c(-87.7002628, 41.9393968)",33,2,33002
31,Miscellaneous-CDOT,Diversey-Long-Linder-Luna & Central Ave,2005,21600,google,"c(-87.761429, 41.931282)",30,14,30014
4,Chicago Park District,Donoghue Park & Lake Park,2005,69439,google,"c(-87.5990723, 41.8171683)",4,5,04005
26,POD Camera,Drake & Wabansia - SW corner,2009,37000,google,"c(-87.744098, 41.9114794)",37,2,37002
10,Sidewalk Menu,E 102 ND ST & S ACCESS RD,2021,105488.58,google,"c(-87.5286874, 41.7106144)",10,26,10026
10,In-Road State Law Stop,E 105 TH ST & S EWING AVE,2014,600,census,"c(-87.535284697, 41.704566835)",10,33,10033
9,Curb & Gutter Menu,E 105 TH ST & S FOREST AVE,2020,13725.07,census,"c(-87.616104532, 41.7036302010001)",9,40,09040
10,In-Road State Law Stop,E 106 TH ST & S AVENUE E,2014,350,census,"c(-87.529238786, 41.7027016070001)",10,32,10032
10,POD Camera,E 107 & S Hoxie,2006,36000,google,"c(-87.5607855, 41.7009555)",10,40,10040
10,Sidewalk Menu,E 108 TH ST & S AVENUE O,2021,4941.84,google,"c(-87.5400742, 41.6991465)",10,39,10039
10,Concrete Alley Menu,E 111 TH ST & S AVENUE G,2020,6333.33333333333,google,"c(-87.5316555, 41.6936578)",10,14,10014
10,Concrete Alley Menu,E 112 TH ST & S,2020,6333.33333333333,google,"c(-87.6121083, 41.6909269)",9,46,09046
9,Traffic Signals,E 115 ST & S STATE ST,2009,6500,google,"c(-87.6228752, 41.685332)",9,31,09031
9,Traffic Signal LED Upgrade Menu,E 115 TH ST & S COTTAGE GROVE AVE,2017,28000,google,"c(-87.6110742, 41.6854391)",9,25,09025
9,Bollard Menu,E 115 TH ST & S DR MARTIN LUTHER KING JR DR,2020,10671.16,google,"c(-87.6131731, 41.6854158)",9,28,09028
10,Street Light Upgrade Menu,E 116 TH ST & S AVENUE G,2021,1000,google,"c(-87.5316364, 41.6845734)",10,41,10041
10,Miscellaneous-CDOT,E 117 ST & S AVENUE O,2006,100000,google,"c(-87.5400498, 41.6827742)",10,46,10046
34,Traffic Signal,E 122 ND ST & S ASHLAND AVE,2012,11400,google,"c(-87.6611999, 41.6720642)",34,51,34051
2,Traffic Signals,E 13 ST & S MICHIGAN AV,2007,165000,google,"c(-87.6241641, 41.8657797)",2,40,02040
10,Street Resurfacing Menu,E 130 TH ST & S BURLEY AVE,2021,24961.56,google,"c(-87.5447772, 41.6589692)",10,8,10008
10,POD Camera,E 134 & S Brandon,2006,36000,census,"c(-87.5459213189999, 41.651854052)",10,15,10015
4,Miscellaneous CDOT Projects,E 25 TH ST & S DR MARTIN LUTHER KING JR DR,2017,2100,google,"c(-87.6173563, 41.8478295)",2,20,02020
2,Pole Painting,E 31 ST & S INDIANA AV,2007,3800,google,"c(-87.6219, 41.8383557)",3,7,03007
2,Street Lighting,E 31 ST & S INDIANA AV,2007,2800,google,"c(-87.6219, 41.8383557)",3,7,03007
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31 ST DR & S LSD 31 ST ST ER,2021,26356.4,google,"c(-87.6841242, 41.8394083)",25,5,25005
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 31 ST ST & S RHODES AVE,2021,26356.4,google,"c(-87.6134772, 41.8384743)",4,30,04030
3,Left-Turn Arrow Menu,E 31 ST ST & S STATE ST,2018,35000,google,"c(-87.6265929, 41.8382962)",3,41,03041
4,Street Resurface Menu(1-5),E 33 RD PLDR. MARTIN LUTHER KING JR. DR (403 E) & S RHODES AV (500 E),2011,56649,google,"c(-87.6156063, 41.7802291)",20,2,20002
4,Bus Pad,E 37 TH ST & S COTTAGE GROVE AVE,2014,614,google,"c(-87.6088297, 41.8277237)",4,20,04020
4,Street Resurfacing Menu,E 37 TH ST & S LAKE PARK AVE,2021,15975.57,census,"c(-87.6063080659999, 41.828636638)",4,35,04035
4,Arterial Street Bump Outs Menu,E 38 TH ST & S COTTAGE GROVE AVE,2019,80635.44,google,"c(-87.607966, 41.8260079)",4,20,04020
3,Sidewalk Menu,E 38 TH ST & S STATE ST (0 E)Dead End (48 E),2011,29267,google,"c(-87.6280033, 41.881903)",42,9,42009
3,Traffic Signal LED,E 41 ST ST & S WABASH AVE,2013,15921,google,"c(-87.6247426, 41.8201164)",3,24,03024
3,Miscellaneous Other,E 43 RD ST & S DR MARTIN LUTHER KING JR DR E,2012,680,google,"c(-87.6170508, 41.8166289)",3,11,03011
3,Miscellaneous CDOT Projects,E 43 RD ST & S DR MARTIN LUTHER KING JR DR E,2019,1700,google,"c(-87.6170508, 41.8166289)",3,11,03011
4,Sidewalk Menu,E 43 RD ST & S GREENWOOD AVE,2022,8343.62666666667,google,"c(-87.5994172, 41.8168942)",4,5,04005
4,Miscellaneous CDOT Projects,E 43 RD ST & S OAKENWALD AVE,2021,660,census,"c(-87.5975085329999, 41.8169226860001)",4,5,04005
4,Sidewalk Menu,E 43 RD ST & SLAKE PARK AVE,2022,8343.62666666667,google,"c(-87.5988797, 41.8168878)",4,5,04005
3,Street Lighting,E 43 ST & S MICHIGAN AV,2009,2000,google,"c(-87.6230125, 41.8165393)",3,15,03015
3,Street Bump Outs Menu,E 44 TH ST & S PRAIRIE AVE,2022,35920.07,google,"c(-87.6197459, 41.8147551)",3,11,03011
3,Traffic Signal LED,E 45 TH ST & S WABASH AVE,2013,15085,census,"c(-87.624562375, 41.8130836940001)",3,15,03015
4,Sidewalk Menu,E 47 TH DR & S LAKE PARK AVE,2019,30736.07,census,"c(-87.592431415, 41.809686889)",4,10,04010
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 47 TH DR & S LSD 47 TH ST ER,2021,26356.4,google,"c(-87.631046, 41.810323)",3,17,03017
4,Left-Turn Arrow Menu,E 47 TH ST & S LAKE PARK AVE,2016,167055,google,"c(-87.5925004, 41.8096581)",4,22,04022
4,Street Light Pole Painting Menu,E 47 TH ST & S LAKE PARK AVE,2019,3600,google,"c(-87.5925004, 41.8096581)",4,22,04022
4,Miscellaneous CDOT Projects,E 48 TH ST & S GREENWOOD AVE,2021,70103.26,google,"c(-87.5992398, 41.8077863)",4,24,04024
4,Miscellaneous CDOT Projects,E 48 TH ST & S GREENWOOD AVE,2022,19896.74,google,"c(-87.5992398, 41.8077863)",4,24,04024
4,Pedestrian Refuge Island,E 48 TH ST & S LAKE PARK AVE,2014,29170,google,"c(-87.5905634, 41.8080975)",4,9,04009
4,Miscellaneous CDOT Projects,E 49 TH ST & S KENWOOD AVE,2021,101658.78,census,"c(-87.5935328639999, 41.806040851)",4,22,04022
4,Arterial Street Bump Outs Menu,E 50 TH ST & S COTTAGE GROVE AVE,2019,61700,google,"c(-87.606444, 41.8040621)",4,3,04003
3,Sidewalk Menu,E 50 TH ST & S PRAIRIE AVE,2021,15284.77,google,"c(-87.6194515, 41.8038706)",3,37,03037
4,In-Road State Law Stop,E 53 RD ST & S KENWOOD AVE,2013,550,google,"c(-87.5925496, 41.799484)",4,31,04031
4,2 POD Camera; 3 LPRs w/o Existing Camera - Various Locations,E 53 RD ST & S LAKE PARK AVE,2021,26356.4,google,"c(-87.5873804, 41.7995763)",4,47,04047
3,Traffic Signal LED,E 53 RD ST & S STATE ST,2013,19967,google,"c(-87.6258481, 41.7981116)",3,8,03008
3,Traffic Signal LED,E 53 RD ST & S WABASH AVE,2013,15085,google,"c(-87.62418, 41.7981509)",3,27,03027
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2013,550,google,"c(-87.5884314, 41.7951353)",5,8,05008
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2014,550,google,"c(-87.5884314, 41.7951353)",5,8,05008
5,In-Road State Law Stop,E 55 TH ST & S HARPER AVE,2015,350,google,"c(-87.5884314, 41.7951353)",5,8,05008
5,In-Road State Law Stop,E 55 TH ST & S KENWOOD AVE,2014,950,census,"c(-87.59334795, 41.7951147970001)",4,31,04031
5,In-Road State Law Stop,E 55 TH ST & S KENWOOD AVE,2015,350,census,"c(-87.59334795, 41.7951147970001)",4,31,04031
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2013,950,census,"c(-87.594923745, 41.7950987180001)",4,43,04043
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2014,950,census,"c(-87.594923745, 41.7950987180001)",4,43,04043
5,In-Road State Law Stop,E 55 TH ST & S KIMBARK AVE,2015,950,census,"c(-87.594923745, 41.7950987180001)",4,43,04043
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2013,1100,census,"c(-87.598095437, 41.7950544990001)",4,41,04041
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2014,550,census,"c(-87.598095437, 41.7950544990001)",4,41,04041
5,In-Road State Law Stop,E 55 TH ST & S UNIVERSITY AVE,2015,350,census,"c(-87.598095437, 41.7950544990001)",4,41,04041
5,In-Road State Law Stop For Pedestrians Signs Menu,E 55 TH ST & S UNIVERSITY AVE,2016,350,census,"c(-87.598095437, 41.7950544990001)",4,41,04041
5,Street Lighting,E 56 TH ST & S LAKE PARK AVE,2011,1000,google,"c(-87.5879855, 41.7933456)",5,8,05008
5,Viaduct Improvement Menu,E 56 TH ST & S STONY ISLAND AVE,2016,51000,google,"c(-87.5866278, 41.7933865)",5,35,05035
20,Street Bump Outs Menu,E 56 TH ST & S WABASH AVE,2022,15000,google,"c(-87.6240426, 41.7928606)",20,31,20031
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 57 TH DR & S LAKE SHORE DR,2021,35747,google,"c(-87.5801558, 41.792432)",5,43,05043
20,Street Bump Outs Menu,E 58 TH ST & S DR MARTIN LUTHER KING JR DR,2021,8171.42,google,"c(-87.6158365, 41.7893431)",20,14,20014
20,Traffic Signals,E 59 TH ST & S WABASH AVE,2011,15000,google,"c(-87.623895, 41.7873864)",20,17,20017
5,Sidewalk Menu,E 61 ST ST & S HARPER AVE,2017,15050.76,google,"c(-87.5881142, 41.7838045)",5,45,05045
20,In-Road State Law Stop For Pedestrians Signs Menu,E 61 ST ST & S LANGLEY AVE,2018,600,google,"c(-87.6084864, 41.7839977)",20,6,20006
5,Street Speed Hump Menu,E 61 ST STDead End (1490 E) & S STONY ISLAND AV (1600 E),2011,3700,google,"c(-87.5856714, 41.7509737)",8,11,08011
5,Street Speed Hump Menu,E 62 ND STDead End (1497 E) & S STONY ISLAND AV (1600 E),2011,3700,google,"c(-101.0020119, 47.5514926)",NA,NA,NA
5,Street Speed Hump Menu,E 62 ST (6148 S) & S HARPER AV (6350 S),2011,3700,google,"c(-87.5878884, 41.78367)",5,45,05045
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 63 RD ST & E HAYES DR,2021,35747,google,"c(-87.5864506, 41.7806111)",5,43,05043
20,Street Traffic Circles Menu,E 64 ST & S RHODES AV,2005,15000,google,"c(-87.611984, 41.7784676)",20,2,20002
5,Traffic Signals,E 67 ST & S MARQUETTE RD,2009,17000,google,"c(-87.5960435, 41.7732274)",5,23,05023
5,Traffic Signals,E 67 ST & S SOUTH SHORE DR,2009,17000,census,"c(-87.566808653, 41.773560161)",5,44,05044
5,Traffic Signals,E 67 ST & S STONY ISLAND AV,2009,17000,google,"c(-87.5862761, 41.7733326)",5,17,05017
5,Miscellaneous Other,E 67 TH ST & S DORCHESTER AVE,2014,200000,census,"c(-87.591145051, 41.772378314)",5,5,05005
5,In-Road State Law Stop,E 67 TH ST & S ELLIS AVE,2015,600,census,"c(-87.600901318, 41.7731903320001)",5,16,05016
5,Sidewalk Menu,E 67 TH ST & S JEFFERY DR,2016,42396.95,census,"c(-87.576484522, 41.773459664)",5,43,05043
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67 TH ST & S JEFFERY DR,2021,35747,census,"c(-87.576484522, 41.773459664)",5,43,05043
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,E 67 TH ST & S SOUTH SHORE DR,2021,35747,census,"c(-87.566808653, 41.773560161)",5,44,05044
5,Concrete Alley Menu,E 68 TH ST & S CHAPPEL AVE,2021,117280.125,google,"c(-87.5752466, 41.7716459)",5,31,05031
5,Street Lighting,E 68 TH ST & S CORNELL AVE,2011,500,google,"c(-87.5859928, 41.7715124)",5,17,05017
5,Street Lighting,E 69 TH ST & S STONY ISLAND AVE,2011,1000,google,"c(-87.586218, 41.7696833)",5,21,05021
5,Traffic Signal Upgrades,E 69 TH ST & S STONY ISLAND AVE,2016,14100,google,"c(-87.586218, 41.7696833)",5,21,05021
5,Traffic Signal Upgrades,E 69 TH ST & S STONY ISLAND AVE,2018,14780,google,"c(-87.586218, 41.7696833)",5,21,05021
5,Traffic Signals,E 71 ST & S COTTAGE GROVE AV,2005,49200,google,"c(-87.6055763, 41.7658778)",5,23,05023
5,Traffic Signals,E 71 ST & S COTTAGE GROVE AV,2005,60000,google,"c(-87.6055763, 41.7658778)",5,23,05023
5,Traffic Signals,E 71 ST & S SOUTH SHORE DR,2008,10500,google,"c(-87.5628152, 41.7662783)",7,35,07035
7,Traffic Signals,E 71 ST & S SOUTH SHORE DR,2008,10500,google,"c(-87.5628152, 41.7662783)",7,35,07035
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71 ST ST & S C HAM PL AIN AVE,2018,27011,google,"c(-87.5926736, 41.7660006)",5,2,05002
6,2 POD CAMERA - 71st & Martin Luther King Dr,E 71 ST ST & S DR MARTIN LUTHER KING JR DR,2018,27011,google,"c(-87.6152534, 41.7657163)",6,7,06007
6,In-Road State Law Stop,E 71 ST ST & S PRAIRIE AVE,2014,600,google,"c(-87.6184531, 41.7656347)",6,33,06033
6,In-Road State Law Stop,E 71 ST ST & S RHODES AVE,2014,600,google,"c(-87.6116474, 41.7657712)",6,7,06007
6,In-Road State Law Stop,E 71 ST ST & S WABASH AVE,2014,350,google,"c(-87.6232946, 41.7655491)",6,32,06032
7,Street Resurfacing Menu,E 73 RD PL & S EXCHANGE AVE,2017,12451.15,google,"c(-87.5624089, 41.7616989)",7,23,07023
5,Traffic Signals,E 75 ST & S STONY ISLAND AV,2009,17000,google,"c(-87.5861335, 41.7587534)",8,20,08020
6,Pedestrian Countdown Signal Menu,E 75 TH ST & S DR MARTIN LUTHER KING JR DR,2017,20000,google,"c(-87.6151044, 41.7584054)",6,45,06045
6,Pedestrian Countdown Signal Menu,E 75 TH ST & S DR MARTIN LUTHER KING JR DR,2018,5052,google,"c(-87.6151044, 41.7584054)",6,45,06045
6,In-Road State Law Stop,E 75 TH ST & S LANGLEY AVE,2014,600,google,"c(-87.6078294, 41.7585371)",6,38,06038
6,In-Road State Law Stop,E 75 TH ST & S PRAIRIE AVE,2014,600,google,"c(-87.6182815, 41.7583455)",6,45,06045
6,Diagonal Parking Menu,E 75 TH ST & S PRAIRIE AVE,2016,51343.88,google,"c(-87.6182815, 41.7583455)",6,45,06045
6,Diagonal Parking Menu,E 75 TH ST & S PRAIRIE AVE,2018,65000,google,"c(-87.6182815, 41.7583455)",6,45,06045
6,Floodlight Menu,E 75 TH ST & S PRAIRIE AVE,2021,697.26,google,"c(-87.6182815, 41.7583455)",6,45,06045
6,Floodlight Menu,E 75 TH ST & S PRAIRIE AVE,2022,252.74,google,"c(-87.6182815, 41.7583455)",6,45,06045
7,Traffic Signals,E 75 TH ST & S SOUTH SHORE DR,2011,15000,census,"c(-87.5571770029999, 41.760592005)",7,11,07011
7,Street Light Pole Painting,E 75 TH ST & S SOUTH SHORE DR,2014,1200,census,"c(-87.5571770029999, 41.760592005)",7,11,07011
7,Street Light Upgrade,E 75 TH ST & S SOUTH SHORE DR,2014,1600,census,"c(-87.5571770029999, 41.760592005)",7,11,07011
7,Street Light Upgrade,E 75 TH ST & S SOUTH SHORE DR,2014,1200,census,"c(-87.5571770029999, 41.760592005)",7,11,07011
8,Traffic Signals,E 79 ST & S STONY ISLAND AV,2005,26400,google,"c(-87.58549, 41.7514963)",8,11,08011
17,In-Road State Law Stop for Pedestrians S,E 79 TH ST & S ABERDEEN ST,2011,950,google,"c(-87.6513187, 41.7505151)",17,55,17055
6,In-Road State Law Stop,E 79 TH ST & S EBERHART AVE,2014,600,google,"c(-87.6125046, 41.7511656)",6,35,06035
7,Pavement Markings Menu,E 79 TH ST & S LAKE SHORE DR,2018,9500,google,"c(-87.5480794, 41.7519825)",7,14,07014
7,Speed Indicator Signs,E 79 TH ST & S LAKE SHORE DR,2018,10000,google,"c(-87.5480794, 41.7519825)",7,14,07014
6,Curb/Gutter Menu,E 80 TH STDR. MARTIN LUTHER KING JR. DR (400 E) & S EBERHART AV (500 E),2011,48302,google,"c(-87.6156063, 41.7802291)",20,2,20002
8,Street Bump Outs Menu,E 83 RD ST & S DORCHESTER AVE,2020,8579.14,google,"c(-87.5904385, 41.7441355)",8,53,08053
6,Miscellaneous Other,E 83 RD ST & S DR MARTIN LUTHER KING JR DR,2012,1166,google,"c(-87.6147317, 41.7438142)",6,47,06047
6,Miscellaneous Other,E 83 RD ST & S DR MARTIN LUTHER KING JR DR,2014,9402,google,"c(-87.6147317, 41.7438142)",6,47,06047
